season,team,elo_rating,points,L,W,W%,playoffs_winner
2019,OKC,1576.0,526.0,4,1,20.0,0
2019,ORL,1585.0,460.0,4,1,20.0,0
2019,UTA,1625.0,489.0,4,1,20.0,0
2019,DET,1489.0,392.0,4,0,0.0,0
2019,IND,1529.0,367.0,4,0,0.0,0
2021,MIL,1665.0,2537.0,7,16,69.57,1
2021,PHO,1689.0,2398.0,8,14,63.64,0
2021,BRK,1639.0,1350.0,5,7,58.33,0
2021,PHI,1646.0,1395.0,5,7,58.33,0
2021,ATL,1596.0,1913.0,8,10,55.56,0
2021,UTA,1680.0,1286.0,5,6,54.55,0
2021,LAC,1643.0,2120.0,9,10,52.63,0
2021,DAL,1574.0,742.0,4,3,42.86,0
2021,DEN,1628.0,1148.0,6,4,40.0,0
2021,LAL,1585.0,585.0,4,2,33.33,0
2021,POR,1624.0,717.0,4,2,33.33,0
2021,BOS,1512.0,561.0,4,1,20.0,0
2021,MEM,1570.0,575.0,4,1,20.0,0
2021,NYK,1592.0,485.0,4,1,20.0,0
2021,WAS,1502.0,550.0,4,1,20.0,0
2021,MIA,1552.0,392.0,4,0,0.0,0
2022,GSW,1648.0,2461.0,6,16,72.73,1
2022,MIA,1642.0,1876.0,7,11,61.11,0
2022,BOS,1740.0,2533.0,10,14,58.33,0
2022,MIL,1608.0,1233.0,5,7,58.33,0
2022,PHO,1661.0,1399.0,6,7,53.85,0
2022,DAL,1619.0,1914.0,9,9,50.0,0
2022,MEM,1637.0,1350.0,6,6,50.0,0
2022,PHI,1621.0,1254.0,6,6,50.0,0
2022,MIN,1570.0,655.0,4,2,33.33,0
2022,NOP,1544.0,659.0,4,2,33.33,0
2022,TOR,1590.0,619.0,4,2,33.33,0
2022,UTA,1587.0,594.0,4,2,33.33,0
2022,ATL,1569.0,487.0,4,1,20.0,0
2022,CHI,1454.0,476.0,4,1,20.0,0
2022,DEN,1537.0,550.0,4,1,20.0,0
2022,BRK,1546.0,436.0,4,0,0.0,0
2023,DEN,1611.0,1746.0,7,15,68.18,1
2023,MIA,1605.0,2010.0,9,16,64.0,0
2023,PHI,1652.0,1128.0,4,7,63.64,0
2023,BOS,1686.0,2239.0,9,11,55.0,0
2023,NYK,1600.0,1101.0,5,6,54.55,0
2023,PHO,1584.0,1256.0,5,6,54.55,0
2023,LAL,1605.0,1797.0,8,8,50.0,0
2023,GSW,1599.0,1470.0,7,6,46.15,0
2023,SAC,1544.0,796.0,4,3,42.86,0
2023,ATL,1532.0,695.0,4,2,33.33,0
2023,MEM,1584.0,628.0,4,2,33.33,0
2023,CLE,1594.0,471.0,4,1,20.0,0
2023,LAC,1546.0,578.0,4,1,20.0,0
2023,MIL,1581.0,594.0,4,1,20.0,0
2023,MIN,1530.0,527.0,4,1,20.0,0
2023,BRK,1507.0,370.0,4,0,0.0,0
